[14:08:21] [ClientServer/ClientMain/KERNEL]: 0.开始建立网络连接…………
[14:08:24] [ClientServer/ClientMain/KERNEL]: 1.网络连接成功!
[14:08:24] [ClientServer/ClientMain/KERNEL]: 2.发送0000包，确认对方是否为服务器Gate端
[14:08:25] [ClientSever/LoginBox/serverState/INFO]: Receive a package 0001(回应连接请求)
[14:08:25] [ClientSever/LoginBox/serverState/INFO]: package 0001: 1
[14:08:25] [ClientServer/ClientMain/KERNEL]: 3.收到0001包，确认对方为服务器Gate端
[14:08:25] [ClientServer/ClientMain/KERNEL]: 4.初始化loginBox登陆界面
[14:08:27] [ClientServer/LoginBox/onLoginResponse/INFO]: Receive a package 0003(登陆反馈)
[14:08:27] [ClientServer/LoginBox/onLoginResponse/INFO]: package 0003: true
[14:08:29] [ClientSever/LoginBox/addCharacter/INFO]: Receive a package 0006(角色预加载)
[14:08:29] [ClientSever/LoginBox/addCharacter/INFO]: Receive a package 0006(角色预加载)
[14:08:29] [ClientServer/LoginBox/noMorePackage/INFO]: Receive a package 0006(角色预加载: 这是最后一个空包
[14:08:30] [ClientServer/LoginBox/onCreatResponse/INFO]: Receive a package 0009(角色创建结果)
[14:08:31] [ClientSever/LoginBox/addCharacter/INFO]: Receive a package 0006(角色预加载)
[14:08:31] [ClientServer/ClientMain/KERNEL]: 5.登陆结束
[14:08:31] [ClientServer/ClientMain/KERNEL]: 6.开始游戏，启动gameBox
[14:08:32] [ClientServer/GameBox/startGame/KERNEL]: 接收主角详细信息(000A):关闭加载窗口,开始游戏!
[14:08:32] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:08:32] [Client/GameBox/updateTarget/INFO]: targetX: 10000/targetY 20000
[14:08:34] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:08:34] [Client/GameBox/updateTarget/INFO]: targetX: 555/targetY 198
[14:08:34] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:08:34] [Client/GameBox/sendTargetPos/INFO]: targetX: 555.0/targetY: 198.0
[14:08:35] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:08:35] [Client/GameBox/updateTarget/INFO]: targetX: 633/targetY 91
[14:08:35] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:08:35] [Client/GameBox/sendTargetPos/INFO]: targetX: 633.0/targetY: 91.0
[14:08:35] [AioModule/Write/Failed/WARNING]: Failed to send to sessionnull. java.nio.channels.ClosedChannelException
[14:08:36] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[14:08:36] [Client/GameBox/updateTarget/INFO]: targetX: 634/targetY 119
[14:08:36] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[14:08:36] [Client/GameBox/sendTargetPos/INFO]: targetX: 634.0/targetY: 119.0
[14:08:37] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
