[13:51:45] [ClientServer/ClientMain/KERNEL]: 0.开始建立网络连接…………
[13:51:48] [ClientServer/ClientMain/KERNEL]: 1.网络连接成功!
[13:51:49] [ClientServer/ClientMain/KERNEL]: 2.发送0000包，确认对方是否为服务器Gate端
[13:51:50] [ClientSever/LoginBox/serverState/INFO]: Receive a package 0001(回应连接请求)
[13:51:50] [ClientSever/LoginBox/serverState/INFO]: package 0001: 1
[13:51:50] [ClientServer/ClientMain/KERNEL]: 3.收到0001包，确认对方为服务器Gate端
[13:51:50] [ClientServer/ClientMain/KERNEL]: 4.初始化loginBox登陆界面
[13:51:52] [ClientServer/LoginBox/onLoginResponse/INFO]: Receive a package 0003(登陆反馈)
[13:51:52] [ClientServer/LoginBox/onLoginResponse/INFO]: package 0003: true
[13:51:53] [ClientSever/LoginBox/addCharacter/INFO]: Receive a package 0006(角色预加载)
[13:51:53] [ClientSever/LoginBox/addCharacter/INFO]: Receive a package 0006(角色预加载)
[13:51:54] [ClientServer/LoginBox/noMorePackage/INFO]: Receive a package 0006(角色预加载: 这是最后一个空包
[13:51:55] [ClientServer/LoginBox/onCreatResponse/INFO]: Receive a package 0009(角色创建结果)
[13:51:56] [ClientSever/LoginBox/addCharacter/INFO]: Receive a package 0006(角色预加载)
[13:51:56] [ClientServer/ClientMain/KERNEL]: 5.登陆结束
[13:51:56] [ClientServer/ClientMain/KERNEL]: 6.开始游戏，启动gameBox
[13:51:56] [ClientServer/GameBox/startGame/KERNEL]: 接收主角详细信息(000A):关闭加载窗口,开始游戏!
[13:51:56] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[13:51:56] [Client/GameBox/updateTarget/INFO]: targetX: 2000/targetY 5000
[13:51:56] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[13:51:57] [Client/GameBox/updateTarget/INFO]: targetX: 10000/targetY 20000
[13:51:58] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[13:51:58] [Client/GameBox/updateTarget/INFO]: targetX: 437/targetY 86
[13:51:58] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[13:51:58] [Client/GameBox/sendTargetPos/INFO]: targetX: 437.0/targetY: 86.0
[13:52:01] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[13:52:01] [Client/GameBox/updateTarget/INFO]: targetX: -444/targetY 64
[13:52:01] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[13:52:01] [AioModule/Write/Failed/WARNING]: Failed to send to sessionnull. java.nio.channels.ClosedChannelException
[13:52:01] [Client/GameBox/sendTargetPos/INFO]: targetX: -444.0/targetY: 64.0
[13:52:05] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[13:52:05] [Client/GameBox/updateTarget/INFO]: targetX: 80/targetY 72
[13:52:05] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[13:52:05] [Client/GameBox/sendTargetPos/INFO]: targetX: 80.0/targetY: 72.0
[13:52:06] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[13:52:06] [Client/GameBox/updateTarget/INFO]: targetX: 40/targetY 83
[13:52:06] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[13:52:06] [Client/GameBox/sendTargetPos/INFO]: targetX: 40.0/targetY: 83.0
[13:52:07] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[13:52:07] [Client/GameBox/updateTarget/INFO]: targetX: 40/targetY 80
[13:52:07] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[13:52:07] [Client/GameBox/sendTargetPos/INFO]: targetX: 40.0/targetY: 80.0
[13:52:08] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[13:52:08] [Client/GameBox/updateTarget/INFO]: targetX: 51/targetY 87
[13:52:08] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[13:52:08] [Client/GameBox/sendTargetPos/INFO]: targetX: 51.0/targetY: 87.0
[13:52:09] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[13:52:09] [Client/GameBox/updateTarget/INFO]: targetX: 58/targetY 86
[13:52:09] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[13:52:09] [Client/GameBox/sendTargetPos/INFO]: targetX: 58.0/targetY: 86.0
[13:52:09] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
[13:52:09] [Client/GameBox/updateTarget/INFO]: targetX: 59/targetY 86
[13:52:09] [Client/GameBox/sendTargetPos/INFO]: package 000B(角色移动意图) send!
[13:52:09] [Client/GameBox/sendTargetPos/INFO]: targetX: 59.0/targetY: 86.0
[13:52:09] [Client/GameBox/updateTarget/INFO]: receive Package 000C(角色目标)
